"","County","Sub-Location","Status/Reason"
"2","Makueni","Tsavo East National Park","National Park"
"3","Kiambu","Aberdare Forest","Forest Area"
"4","Turkana","Parkati","Population migrated in search of water"
"5","Nandi","Nandi South Forest","Forest Area"
"6","Nandi","North Tinderet Forest","Forest Area"
"7","Nandi","Nandi South Forest","Forest Area"
"8","Baringo","Lake Bogoria","Lake"
"9","Baringo","Lake Baringo","Lake"
"10","Nakuru","Mau Forest","Forest Area"
"11","Kericho","Mau Forest","Forest Area"
"12","Kericho","Tinderet Forest","Forest Area"
"13","Bomet","Mau Forest","Forest Area"
"14","Kakamega","Kakamega East Forest","Forest Area"
